"time","T_Out_ext","T_amb_ext","u_ext"
412,30.7256,20,1
412.5,30.5685,20,1
413,30.4149,20,1
413.5,30.2645,20,1
414,30.1175,20,1
414.5,29.9736,20,1
415,29.8329,20,1
415.5,29.6952,20,1
416,29.5605,20,1
416.5,29.4288,20,1
417,29.2999,20,1
417.5,29.1738,20,1
418,29.0505,20,1
418.5,28.9298,20,1
419,28.8118,20,1
419.5,28.6963,20,1
420,28.5833,20,1
420.5,28.4728,20,1
421,28.3647,20,1
421.5,28.259,20,1
422,28.1555,20,1
422.5,28.0543,20,1
423,27.9553,20,1
423.5,27.8585,20,1
424,27.7637,20,1
424.5,27.671,20,1
425,27.5803,20,1
425.5,27.4916,20,1
426,27.4049,20,1
426.5,27.32,20,1
427,27.2369,20,1
427.5,27.1557,20,1
428,27.0762,20,1
428.5,26.9985,20,1
429,26.9224,20,1
429.5,26.848,20,1
430,26.7752,20,1
430.5,26.704,20,1
431,26.6344,20,1
431.5,26.5662,20,1
432,26.4996,20,1
432.5,26.4344,20,1
433,26.3706,20,1
433.5,26.3082,20,1
434,26.2471,20,1
434.5,26.1874,20,1
435,26.129,20,1
435.5,26.0718,20,1
436,26.0159,20,1
436.5,25.9612,20,1
437,25.9077,20,1
437.5,25.8554,20,1
438,25.8042,20,1
438.5,25.7541,20,1
439,25.7051,20,1
439.5,25.6572,20,1
440,25.6103,20,1
440.5,25.5644,20,1
441,25.5195,20,1
441.5,25.4756,20,1
442,25.4327,20,1
442.5,25.3906,20,1
443,25.3495,20,1
443.5,25.3093,20,1
444,25.27,20,1
444.5,25.2315,20,1
445,25.1939,20,1
445.5,25.1571,20,1
446,25.121,20,1
446.5,25.0858,20,1
447,25.0513,20,1
447.5,25.0176,20,1
448,24.9846,20,1
448.5,24.9523,20,1
449,24.9208,20,1
449.5,24.8899,20,1
450,24.8597,20,1
450.5,24.8301,20,1
451,24.8012,20,1
451.5,24.7729,20,1
452,24.7452,20,1
452.5,24.7182,20,1
453,24.6917,20,1
453.5,24.6658,20,1
454,24.6404,20,1
454.5,24.6156,20,1
455,24.5914,20,1
455.5,24.5677,20,1
456,24.5444,20,1
456.5,24.5217,20,1
457,24.4995,20,1
457.5,24.4778,20,1
458,24.4565,20,1
458.5,24.4357,20,1
459,24.4154,20,1
459.5,24.3955,20,1
460,24.376,20,1
460.5,24.357,20,1
461,24.3384,20,1
461.5,24.3201,20,1
462,24.3023,20,1
462.5,24.2849,20,1
463,24.2678,20,1
463.5,24.2511,20,1
464,24.2348,20,1
464.5,24.2188,20,1
465,24.2032,20,1
465.5,24.1879,20,1
466,24.1729,20,1
466.5,24.1583,20,1
467,24.144,20,1
467.5,24.13,20,1
468,24.1163,20,1
468.5,24.1029,20,1
469,24.0898,20,1
469.5,24.077,20,1
470,24.0644,20,1
470.5,24.0522,20,1
471,24.0402,20,1
471.5,24.0284,20,1
472,24.0169,20,1
472.5,24.0057,20,1
473,23.9947,20,1
473.5,23.9839,20,1
474,23.9734,20,1
474.5,23.9631,20,1
475,23.9531,20,1
475.5,23.9432,20,1
476,23.9336,20,1
476.5,23.9242,20,1
477,23.9149,20,1
477.5,23.9059,20,1
478,23.8971,20,1
478.5,23.8885,20,1
479,23.88,20,1
479.5,23.8718,20,1
480,23.8637,20,1
480.5,23.8558,20,1
481,23.848,20,1
481.5,23.8405,20,1
482,23.8331,20,1
482.5,23.8258,20,1
483,23.8187,20,1
483.5,23.8118,20,1
484,23.805,20,1
484.5,23.7984,20,1
485,23.7919,20,1
485.5,23.7856,20,1
486,23.7794,20,1
486.5,23.7733,20,1
487,23.7673,20,1
487.5,23.7615,20,1
488,23.7559,20,1
488.5,23.7503,20,1
489,23.7448,20,1
489.5,23.7395,20,1
490,23.7343,20,1
490.5,23.7292,20,1
491,23.7242,20,1
491.5,23.7194,20,1
492,23.7146,20,1
492.5,23.7099,20,1
493,23.7054,20,1
493.5,23.7009,20,1
494,23.6965,20,1
494.5,23.6923,20,1
495,23.6881,20,1
495.5,23.684,20,1
496,23.68,20,1
496.5,23.6761,20,1
497,23.6723,20,1
497.5,23.6685,20,1
498,23.6648,20,1
498.5,23.6613,20,1
499,23.6578,20,1
499.5,23.6543,20,1
500,23.651,20,1
500.5,23.6477,20,1
501,23.6445,20,1
501.5,23.6413,20,1
502,23.6383,20,1
502.5,23.6353,20,1
503,23.6323,20,1
503.5,23.6294,20,1
504,23.6266,20,1
504.5,23.6239,20,1
505,23.6212,20,1
505.5,23.6185,20,1
506,23.616,20,1
506.5,23.6135,20,1
507,23.611,20,1
507.5,23.6086,20,1
508,23.6062,20,1
508.5,23.6039,20,1
509,23.6016,20,1
509.5,23.5994,20,1
510,23.5973,20,1
510.5,23.5952,20,1
511,23.5931,20,1
511.5,23.5911,20,1
512,23.5891,20,1
512.5,23.5871,20,1
513,23.5853,20,1
513.5,23.5834,20,1
514,23.5816,20,1
514.5,23.5798,20,1
515,23.5781,20,1
515.5,23.5764,20,1
516,23.5747,20,1
516.5,23.5731,20,1
517,23.5715,20,1
517.5,23.57,20,1
518,23.5684,20,1
518.5,23.5669,20,1
519,23.5655,20,1
519.5,23.5641,20,1
520,23.5627,20,1
520.5,23.5613,20,1
521,23.56,20,1
521.5,23.5587,20,1
522,23.5574,20,1
522.5,23.5562,20,1
523,23.5549,20,1
523.5,23.5537,20,1
524,23.5526,20,1
524.5,23.5514,20,1
525,23.5503,20,1
525.5,23.5492,20,1
526,23.5481,20,1
526.5,23.5471,20,1
527,23.5461,20,1
527.5,23.5451,20,1
528,23.5441,20,1
528.5,23.5431,20,1
529,23.5422,20,1
529.5,23.5413,20,1
530,23.5404,20,1
530.5,23.5395,20,1
531,23.5386,20,1
531.5,23.5378,20,1
532,23.537,20,1
532.5,23.5362,20,1
533,23.5354,20,1
533.5,23.5346,20,1
534,23.5339,20,1
534.5,23.5331,20,1
535,23.5324,20,1
535.5,23.5317,20,1
536,23.531,20,1
536.5,23.5303,20,1
537,23.5297,20,1
537.5,23.529,20,1
538,23.5284,20,1
538.5,23.5278,20,1
539,23.5272,20,1
539.5,23.5266,20,1
540,23.526,20,1
540.5,23.5255,20,1
541,23.5249,20,1
541.5,23.5244,20,1
542,23.5238,20,1
542.5,23.5233,20,1
543,23.5228,20,1
543.5,23.5223,20,1
544,23.5218,20,1
544.5,23.5213,20,1
545,23.5209,20,1
545.5,23.5204,20,1
546,23.52,20,1
546.5,23.5196,20,1
547,23.5191,20,1
547.5,23.5187,20,1
548,23.5183,20,1
548.5,23.5179,20,1
549,23.5175,20,1
